# Pantone FHI-TCX Color Catalog
# Fonte: catalogo pubblico Pantone Fashion Home + Interiors Textile Color Exchange
# Formato: code,name,hex_code
code,name,hex_code
# ── Grigi / Neutri ────────────────────────────────────────────────────────────
# ── Grigi tono-su-tono ───────────────────────────────────────────────────────
# ── Toni intermedi mancanti ──────────────────────────────────────────────────
11-0601 TCX,Blanc de Blanc,#F5F4EF
11-0602 TCX,Snow White,#FAFAF8
11-0700 TCX,Bright White,#F8F7F2
11-0701 TCX,Marshmallow,#F5F1EA
11-0703 TCX,Pristine,#F5F2EC
11-0801 TCX,Beeswax,#F2EDDE
11-0802 TCX,Antique White,#EFE9DC
11-0901 TCX,Vanilla Custard,#F5EDD6
11-1001 TCX,Almond Milk,#F3E9D8
11-1002 TCX,Pale Blush,#F5EAE8
11-1305 TCX,Seashell,#F5EDE2
11-1401 TCX,Cream,#F5EDD4
11-1404 TCX,Pearl,#F3EDDF
11-1502 TCX,White Alyssum,#F2EEEA
11-4800 TCX,Bright White,#F9F9F8
11-4801 TCX,Cloud Dancer,#F8F7F3
12-0104 TCX,White Asparagus,#E7E0CC
12-0105 TCX,Antique White,#EDE5CC
12-0106 TCX,Birch,#E5DDCC
12-0107 TCX,Butter,#F0E8CC
12-0604 TCX,Vanilla Custard,#F7ECCC
12-0605 TCX,Pistachio Shell,#EAE5CA
12-0608 TCX,Pale Banana,#F5E8A8
12-0712 TCX,Golden Fleece,#F5E59C
12-0714 TCX,Buttercup,#F5E898
12-0717 TCX,Banana Cream,#F7EAA5
12-0721 TCX,Pastel Yellow,#F7E888
12-0752 TCX,Lemon Drop,#FAE888
12-0757 TCX,Sunshine,#FAE880
12-0822 TCX,Wheat,#EEE0B0
12-0824 TCX,Champagne,#F2E2B0
12-0826 TCX,Straw,#EEE0A0
12-0904 TCX,Peach Blush,#F5E5D5
12-0907 TCX,Peach Tint,#F5E2CC
12-1005 TCX,Almond Peach,#F5E5D5
12-1012 TCX,Pale Peach,#F5DECE
12-1105 TCX,Cream Blush,#F5E8D8
12-1106 TCX,Buff,#F0E0C8
12-1207 TCX,Apricot Ice,#F5E0CA
12-1403 TCX,Ivory,#F2E8D5
12-1404 TCX,Pale Ivory,#F2E5CC
12-1405 TCX,Sand Beige,#EEE0C8
12-1406 TCX,Warm Sand,#EAD8C5
12-1407 TCX,Nomad,#E8D8C4
12-1504 TCX,Cream Rose,#F2E5E0
12-1505 TCX,Blush Pink,#F5DEDE
12-1506 TCX,Crystal Pink,#F5E0DC
12-1907 TCX,Petal,#F5E8E8
12-1908 TCX,Heavenly Pink,#F5E5E8
12-1909 TCX,Blushing Bride,#F5E5E5
12-2103 TCX,White Lilac,#EBEAF2
12-2904 TCX,Barely Blue,#E0E8F0
12-4304 TCX,Icy Blue,#E8EEF5
12-4306 TCX,Crystal Blue,#E0EBF5
12-4604 TCX,Ice Water,#E4EBF5
12-4800 TCX,Nimbus Cloud,#EEF0F0
12-4802 TCX,Bright White,#F2F4F5
12-4805 TCX,Light Gray,#EEEEF2
12-5203 TCX,Glacier Lake,#E5EFF0
12-5205 TCX,Bright Sky,#E5EEF2
12-5406 TCX,Hint of Mint,#E0EEE8
13-0000 TCX,Egret,#E8E5DC
13-0002 TCX,Alabaster Gleam,#E5DECC
13-0003 TCX,Ecru,#E8DECC
13-0005 TCX,Warm White,#EAE0CC
13-0008 TCX,Calico,#E8D8B8
13-0404 TCX,Hay,#E0D5A8
13-0605 TCX,Lemon Sherbet,#F2E8A0
13-0607 TCX,Yellow Iris,#F5E898
13-0608 TCX,Yellow Cream,#F5E888
13-0614 TCX,Illuminating,#F5E264
13-0755 TCX,Buttercup,#F5E060
13-0800 TCX,Wheat,#E8D8A0
13-0803 TCX,Dune,#E0CCA0
13-0804 TCX,Straw,#E8D898
13-0822 TCX,Cream Gold,#F0E098
13-0856 TCX,Primrose Yellow,#F5E278
13-0858 TCX,Limelight,#F5E870
13-0917 TCX,Peach Nougat,#F5D8B8
13-1010 TCX,Pale Apricot,#F5DCC8
13-1011 TCX,Sand,#EDD8B8
13-1012 TCX,Apricot,#F5D8B8
13-1014 TCX,Desert Sun,#F5D0A8
13-1016 TCX,Peach Cobbler,#F0C898
13-1017 TCX,Cantaloupe,#F5C898
13-1019 TCX,Orange Sherbet,#F5C890
13-1021 TCX,Tangerine,#F5C080
13-1024 TCX,Papaya,#F5C480
13-1113 TCX,Cream Tan,#EDD8C0
13-1116 TCX,Peach Melba,#F0D0B0
13-1404 TCX,Pale Peach,#F0D8C4
13-1412 TCX,Warm Beige,#E8CCB0
13-1513 TCX,Light Peach,#F5D5C5
13-1516 TCX,Pale Salmon,#F5CEC0
13-1520 TCX,Coral Candy,#F5C8C0
13-1905 TCX,Seashell Pink,#F2E0E0
13-2010 TCX,Cradle Pink,#F5D8D8
13-2011 TCX,Pearl Pink,#F5DADA
13-2012 TCX,Blush Nue,#F5D8DC
13-2205 TCX,Pink Tint,#F0E0E8
13-2808 TCX,Iris,#D8DAEA
13-2905 TCX,Cloud Blue,#DAEAF5
13-3801 TCX,Blue Tint,#E0E8F2
13-3804 TCX,Baby Lavender,#E0E0EE
13-4008 TCX,Barely There,#E0E5EA
13-4010 TCX,Ice Gray,#E2E8ED
13-4305 TCX,Halogen Blue,#D8E2E8
13-4307 TCX,Baby Blue,#D8ECF5
13-4411 TCX,Ice Blue,#D5E8F0
13-4705 TCX,Sky Gray,#D8E5F0
13-5305 TCX,Glacier,#D8E8EA
13-5306 TCX,Iced Aqua,#D5EAE8
14-0000 TCX,Antique White Light,#E5DFCC
14-0107 TCX,Antique Gold,#DDD0A0
14-0116 TCX,Acacia,#D8C478
14-0121 TCX,Yellow Pear,#DDCC68
14-0220 TCX,Jasmine Green,#D8D880
14-0229 TCX,Lemon Lime,#D5D870
14-0232 TCX,Green Sheen,#CDD862
14-0316 TCX,Butterfly,#D0C870
14-0427 TCX,Yellow Iris,#D5CC55
14-0530 TCX,Tender Greens,#C8D478
14-0535 TCX,Jade Lime,#C8D570
14-0827 TCX,Golden Cream,#E8D080
14-0846 TCX,Sunflower,#F5C840
14-0940 TCX,Warm Amber,#E8B840
14-1012 TCX,Apricot Nectar,#ECCDB8
14-1014 TCX,Tender Peach,#ECC8A8
14-1017 TCX,Melon,#EEC0A0
14-1018 TCX,Peach Fuzz,#FFBE98
14-1019 TCX,Peach,#F0C098
14-1022 TCX,Coral Essence,#F0AE88
14-1023 TCX,Amberglow,#EEAA80
14-1025 TCX,Tangerine Dream,#F0A870
14-1027 TCX,Orange Peel,#F0A060
14-1031 TCX,Amber,#ECA855
14-1118 TCX,Wheat,#ECC8A8
14-1122 TCX,Caramel,#E8B888
14-1124 TCX,Warm Camel,#E8B080
14-1127 TCX,Apricot Sherbet,#ECA870
14-1213 TCX,Apricot Cream,#ECC0A8
14-1231 TCX,Desert Mist,#EEB090
14-1310 TCX,Sandy Beige,#E8C8A8
14-1311 TCX,Nomad,#E0C09A
14-1314 TCX,Warm Sand,#E4C0A0
14-1318 TCX,Warm Terracotta,#E0AE8A
14-1419 TCX,Beige,#E8C5A8
14-1420 TCX,Sand,#E0B898
14-1422 TCX,Warm Tan,#E0B088
14-1511 TCX,Pale Blush,#F0D0C8
14-1513 TCX,Peach Amber,#ECC0B0
14-1514 TCX,Pale Apricot,#F0C0A8
14-1517 TCX,Pale Coral,#F0BCAC
14-1521 TCX,Coral Candy,#F0B0A0
14-1714 TCX,Rose Dust,#ECC5C0
14-1811 TCX,Pale Blush Rose,#F0D0CC
14-1912 TCX,Powder Puff,#F0CCCC
14-1913 TCX,Pale Dogwood,#EFC0C0
14-2808 TCX,Mauve Chalk,#E8D0E0
14-3204 TCX,Pink Champagne,#F0D0E0
14-3707 TCX,Lilac Hint,#E0D0F0
14-3809 TCX,Crystal Blue,#D8DDF0
14-3903 TCX,Lavender Tint,#E0D8E8
14-4002 TCX,Lilac,#E0D5E8
14-4102 TCX,Silver Lilac,#DCE0EA
14-4112 TCX,Iceberg,#C8DCEE
14-4116 TCX,Cerulean Tint,#C5DCF0
14-4122 TCX,Baby Blue,#C8DAEA
14-4123 TCX,Pale Blue,#C5D8F0
14-4202 TCX,Windsurfer,#D8DEED
14-4210 TCX,Blue Haze,#C8D8E8
14-4306 TCX,Blue Bell,#C0D8EE
14-4307 TCX,Blue Slate,#C0CCD8
14-4505 TCX,Gray Mist,#D8E0E8
14-4508 TCX,Mist Blue,#C8D8E2
14-4510 TCX,Iced Aqua,#C8E0E8
14-4511 TCX,Barely Blue,#C0DCEA
14-4809 TCX,Blue Ice,#CCD8E8
14-4810 TCX,Pale Platinum,#D5DCE8
14-4906 TCX,Silver,#D5DCE5
14-5413 TCX,Glacier Lake,#C0D5DA
14-5503 TCX,Hint of Mint,#D0E5E0
15-0000 TCX,Peyote,#D5C8A8
15-0146 TCX,Lime Punch,#AACA3C
15-0231 TCX,Lime,#B8CC5A
15-0237 TCX,Jade Lime,#ACCA50
15-0341 TCX,Sharp Green,#A0C840
15-0343 TCX,Classic Green,#9AC238
15-0545 TCX,Green Oasis,#90C038
15-0647 TCX,Lime Green,#8EC02C
15-0750 TCX,Chive,#88BC2E
15-0751 TCX,Sharp Yellow Green,#9EC034
15-0755 TCX,Macaw Green,#96C032
15-0757 TCX,Jasmine,#98C030
15-0955 TCX,Greenery,#88B633
15-0960 TCX,Tender Greens Light,#90C040
15-1062 TCX,Flame,#F08020
15-1112 TCX,Peach Amber,#E8B098
15-1118 TCX,Peach Caramel,#E8A870
15-1119 TCX,Desert Sun,#E8A862
15-1142 TCX,Flame Orange,#F08022
15-1157 TCX,Saffron,#F07D00
15-1159 TCX,Tangerine,#F07C00
15-1164 TCX,Orange Tiger,#EE7D1A
15-1173 TCX,Artisan Gold,#F2A020
15-1260 TCX,Salmon Orange,#F09048
15-1262 TCX,Apricot,#F0A058
15-1263 TCX,Orange Burst,#F09038
15-1264 TCX,Orange,#F09040
15-1265 TCX,Orange Burst Light,#F08830
15-1318 TCX,Peach,#F0AA90
15-1322 TCX,Light Peach,#F0B090
15-1327 TCX,Pale Peach,#F0A888
15-1460 TCX,Peach Amber Medium,#F0B080
15-1462 TCX,Peach Coral,#F0A878
